net,length_um
_22_,432.75
display_inst.display_counter\[2\],390.82
display_inst.clk_div\[4\],380.42
_16_,300.18
net4,286.72
display_inst.display_counter\[0\],278.65
display_inst.clk_div\[6\],277.78
display_inst.clk_div\[5\],273.14
display_inst.clk_div\[0\],270.52
_20_,270
display_inst.display_counter\[1\],264.66
display_inst.clk_div\[1\],258.41
_09_,250.74
net1,242.4
display_inst.clk_div\[3\],241.3
_24_,239.68
display_inst.clk_div\[2\],226.56
_15_,218.48
_03_,207.84
_02_,203.205
display_inst.clk_div\[8\],201.38
clknet_1_1__leaf_clk,198.26
clk,182.43
_23_,177.4
_27_,169.96
_25_,168.2
_10_,165.56
_30_,158.16
_04_,154.56
net7,149.08
clknet_1_0__leaf_clk,148.78
_13_,129.76
_01_,128.14
net2,126.72
_14_,112.2
_12_,109.14
display_inst.clk_div\[7\],106.04
_05_,98.565
net5,97.96
_19_,95.76
_21_,92.98
_00_,78.2
net8,75.96
_11_,75.88
_29_,75.84
_08_,72.065
net6,66.6
_06_,66.205
_28_,62.9
_07_,59.925
net3,57.08
_18_,51.54
clknet_0_clk,46.7
_17_,45.88
_26_,9.02
net10,5.97
net14,5.97
an[3],5.29
an[5],5.29
an[7],5.29
net12,5.29
net13,4.61
net15,4.61
net9,4.61
an[1],4.27
an[0],3.93
an[2],3.93
an[4],3.93
an[6],3.93
net11,3.93
